model_name,model_slug,family,recipe,severity,n,accuracy,mean_confidence,clean_accuracy,clean_mean_confidence,accuracy_drop,confidence_drop,incorrect_n,mean_confidence_correct,mean_confidence_incorrect,high_conf_wrong_rate
CLIP ViT-B/16,clip_vit_b16,classic,blur_classic,low,100,0.87,0.8734588950872422,0.9,0.8785907293856144,0.030000000000000027,0.005131834298372273,13,0.9303471689251648,0.49274506247960603,0.06
CLIP ViT-B/16,clip_vit_b16,classic,blur_classic,mid,100,0.84,0.8729715406894684,0.9,0.8785907293856144,0.06000000000000005,0.005619188696146082,16,0.9344830498808906,0.5500361174345016,0.08
CLIP ViT-B/16,clip_vit_b16,classic,jpeg_classic,high,100,0.83,0.8595800465345382,0.9,0.8785907293856144,0.07000000000000006,0.01901068285107621,17,0.9215521083538791,0.5570105682401096,0.1
CLIP ViT-B/16,clip_vit_b16,classic,jpeg_classic,low,100,0.88,0.8753455120325089,0.9,0.8785907293856144,0.020000000000000018,0.0032452173531055672,12,0.9242815040051937,0.5164815708994865,0.06
CLIP ViT-B/16,clip_vit_b16,classic,jpeg_classic,mid,100,0.86,0.8661421242356301,0.9,0.8785907293856144,0.040000000000000036,0.01244860514998436,14,0.9187135505814885,0.5432033623967852,0.07
CLIP ViT-B/16,clip_vit_b16,classic,resize_roundtrip,high,100,0.86,0.8705319716036319,0.9,0.8785907293856144,0.040000000000000036,0.008058757781982506,14,0.9226587241472199,0.5503247774073056,0.09
CLIP ViT-B/16,clip_vit_b16,classic,resize_roundtrip,low,100,0.9,0.8757443755865097,0.9,0.8785907293856144,0.0,0.002846353799104695,10,0.9134806662797927,0.5361177593469619,0.05
CLIP ViT-B/16,clip_vit_b16,classic,resize_roundtrip,mid,100,0.9,0.872375277876854,0.9,0.8785907293856144,0.0,0.006215451508760461,10,0.9094534907076094,0.538671362400055,0.05
CLIP ViT-B/16,clip_vit_b16,clean,clean,clean,100,0.9,0.8785907293856144,0.9,0.8785907293856144,0.0,0.0,10,0.91576563153002,0.5440166100859642,0.05
CLIP ViT-B/16,clip_vit_b16,modern_transfer,dirty_lens_recompress,high,100,0.85,0.8643576484918595,0.9,0.8785907293856144,0.050000000000000044,0.014233080893754968,15,0.9135028099312502,0.5858684003353118,0.1
CLIP ViT-B/16,clip_vit_b16,modern_transfer,dirty_lens_recompress,low,100,0.9,0.8700289517641068,0.9,0.8785907293856144,0.0,0.008561777621507671,10,0.9078007029162513,0.5300831913948059,0.05
